study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
4,72,Yes,89,Fail
16,72,Yes,93,Pass
4,79,No,61,Fail
4,65,Yes,61,Fail
20,76,Yes,50,Pass
3,82,Yes,96,Pass
15,59,Yes,60,Pass
17,61,Yes,45,Fail
7,63,Yes,58,Fail
16,91,No,56,Pass
18,57,No,61,Pass
19,85,Yes,92,Pass
19,91,No,40,Pass
15,96,No,83,Pass
20,95,No,73,Pass
16,78,Yes,94,Pass
8,60,No,82,Fail
11,65,No,61,Fail
20,80,Yes,86,Pass
17,79,No,41,Fail
9,92,Yes,93,Pass
14,55,No,54,Fail
15,89,Yes,80,Pass
12,86,Yes,74,Pass
18,66,Yes,74,Pass
17,79,No,42,Fail
3,63,No,52,Fail
3,71,No,83,Fail
11,82,No,40,Fail
6,94,Yes,72,Pass
14,100,Yes,45,Pass
16,55,No,44,Fail
20,99,No,41,Pass
13,71,No,42,Fail
20,76,No,62,Pass
3,95,Yes,96,Pass
16,59,Yes,63,Pass
10,60,Yes,88,Pass
19,79,No,49,Pass
12,79,No,48,Fail
20,76,Yes,80,Pass
8,92,No,67,Fail
4,63,No,82,Fail
3,77,No,95,Fail
17,74,No,90,Pass
3,65,No,95,Fail
19,87,Yes,61,Pass
19,61,No,54,Pass
13,60,No,72,Pass
10,68,No,56,Fail
15,57,Yes,52,Fail
19,67,Yes,52,Pass
11,91,Yes,45,Fail
13,60,No,75,Pass
20,63,Yes,90,Pass
18,86,No,89,Pass
3,71,No,61,Fail
15,69,Yes,79,Pass
3,93,No,61,Fail
6,99,Yes,63,Fail
17,78,No,60,Pass
14,68,No,61,Fail
9,66,No,91,Pass
4,81,No,72,Fail
11,66,No,63,Fail
5,73,Yes,98,Pass
11,87,No,43,Fail
15,58,No,59,Fail
6,84,No,55,Fail
17,72,No,76,Pass
14,70,No,72,Pass
11,76,Yes,51,Fail
6,56,No,82,Fail
18,63,No,74,Pass
4,85,Yes,60,Fail
14,69,Yes,69,Pass
19,93,No,85,Pass
3,75,No,54,Fail
5,71,No,50,Fail
16,77,No,42,Fail
3,86,Yes,52,Fail
4,72,Yes,88,Fail
19,67,No,71,Pass
17,69,No,73,Pass
5,61,No,79,Fail
20,90,No,91,Pass
9,88,Yes,80,Pass
15,81,No,47,Fail
4,91,No,88,Fail
16,88,No,49,Pass
18,63,Yes,53,Pass
10,57,Yes,98,Pass
9,59,No,41,Fail
3,81,No,75,Fail
3,57,Yes,86,Fail
16,99,No,51,Pass
12,62,No,82,Pass
13,68,Yes,87,Pass
14,64,No,54,Fail
16,69,No,65,Pass
20,67,No,44,Pass
18,57,No,48,Fail
18,61,Yes,47,Pass
17,77,Yes,68,Pass
19,77,No,63,Pass
9,79,Yes,46,Fail
19,61,No,87,Pass
5,97,Yes,64,Fail
8,81,Yes,96,Pass
18,63,Yes,50,Pass
5,76,Yes,46,Fail
7,69,No,67,Fail
9,97,No,43,Fail
4,64,Yes,69,Fail
5,63,Yes,62,Fail
17,68,Yes,55,Pass
16,76,Yes,45,Pass
3,73,No,82,Fail
15,77,Yes,92,Pass
4,58,Yes,47,Fail
10,73,Yes,48,Fail
20,55,No,98,Pass
16,90,No,63,Pass
7,81,Yes,78,Pass
12,77,No,84,Pass
3,77,Yes,81,Fail
12,60,No,86,Pass
8,94,No,68,Fail
6,93,Yes,65,Fail
5,67,Yes,86,Fail
14,82,No,58,Pass
20,89,Yes,64,Pass
3,71,Yes,88,Fail
8,67,No,51,Fail
6,63,Yes,57,Fail
6,59,No,43,Fail
11,78,Yes,56,Fail
16,60,No,73,Pass
20,62,Yes,98,Pass
13,73,No,68,Pass
10,55,Yes,93,Pass
6,94,Yes,89,Pass
17,79,No,83,Pass
8,63,No,40,Fail
16,68,Yes,98,Pass
3,81,Yes,91,Pass
5,66,No,66,Fail
8,79,No,44,Fail
3,62,No,57,Fail
4,95,Yes,96,Pass
12,74,No,41,Fail
7,74,No,96,Pass
9,82,Yes,71,Pass
4,82,Yes,95,Pass
7,65,Yes,75,Fail
10,59,No,77,Fail
9,80,No,85,Pass
20,78,Yes,93,Pass
9,60,No,42,Fail
20,74,Yes,53,Pass
4,64,Yes,85,Fail
4,81,No,79,Fail
15,76,Yes,81,Pass
15,82,Yes,45,Pass
4,68,Yes,82,Fail
7,100,No,63,Fail
19,81,No,58,Pass
16,66,Yes,94,Pass
3,92,Yes,73,Fail
6,84,Yes,80,Pass
20,85,Yes,63,Pass
12,84,No,81,Pass
12,89,No,52,Fail
8,57,No,43,Fail
6,86,No,88,Pass
16,97,Yes,97,Pass
6,97,Yes,54,Fail
15,63,Yes,88,Pass
18,88,Yes,96,Pass
19,86,No,60,Pass
16,96,No,61,Pass
18,66,Yes,46,Pass
4,99,Yes,63,Fail
4,63,Yes,91,Fail
8,98,No,87,Pass
8,90,Yes,72,Pass
8,86,Yes,70,Pass
7,72,No,83,Fail
19,95,No,54,Pass
5,82,No,65,Fail
13,58,No,95,Pass
16,99,Yes,60,Pass
17,84,Yes,47,Pass
4,100,No,63,Fail
13,70,No,86,Pass
13,97,Yes,42,Pass
8,63,No,52,Fail
18,82,Yes,62,Pass
7,72,No,74,Fail
12,98,Yes,62,Pass
